bbg_ticker,Generic_Ticker,Contract_Size,Category,Currency
CJPM26 Comdty,CJP1 Comdty,1000.0,Energy,USD
LMNIDP 20261001 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
IACM6 Comdty,IAC1 Comdty,100.0,Ferrous,USD
ZZBM6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD
SCOM6 Comdty,SCO1 Comdty,100.0,Ferrous,USD
UEAQ6P 1.135 Curncy,UEA1 Curncy,125000.0,Currency,USD
SIQ6P 58.00 Comdty,SI1 Comdty,5000.0,Precious Metal,USD
LMNIDP 20260929 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMCADP 20260715 Comdty,LMCADY Comdty,25.0,Base Metal,USD
RTYU6 Index,RTY1 Index,50.0,Equity Index,USD
UEAQ6P 1.125 Curncy,UEA1 Curncy,125000.0,Currency,USD
LMCADP 20260929 Comdty,LMCADY Comdty,25.0,Base Metal,USD
JGSM6 Index,JGS1 Index,2.0,Equity Index,USD
IACV6 Comdty,IAC1 Comdty,100.0,Ferrous,USD
IACN6 Comdty,IAC1 Comdty,100.0,Ferrous,USD
LMAHDP 20261118 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
NQU6P 28000 Index,NQ1 Index,20.0,Equity Index,USD
HCTM6 Index,HCT1 Index,50.0,Equity Index,HKD
LMZSDP 20260925 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
QCU6 Comdty,QC1 Comdty,10.0,Agriculture,GBP
LMZSDP 20260923 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
CLQ6 Comdty,CL1 Comdty,1000.0,Energy,USD
LMNIDP 20260925 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMNIDP 20260924 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMAHDP 20260923 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260819 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
HCTZ6 Index,HCT1 Index,50.0,Equity Index,HKD
PLQ6C 1800 Comdty,PL1 Comdty,50.0,Precious Metal,USD
COQ6 Comdty,CO1 Comdty,1000.0,Energy,USD
